payload_mb,bandwidth_mbps,run_idx,total_ms,generation_ms,publication_ms
10,100,1,6376.465,1839.576,4536.889
10,100,2,6283.403,1735.883,4547.52
10,100,3,6304.462,1753.363,4551.098
10,100,4,6319.777,1770.756,4549.021
10,100,5,6397.479,1849.037,4548.442
10,100,6,6346.456,1797.211,4549.245
10,100,7,6341.714,1795.685,4546.028
10,100,8,6406.983,1856.65,4550.332
10,100,9,6322.514,1771.244,4551.27
10,100,10,6249.787,1708.616,4541.17
10,150,1,4956.31,1791.325,3164.985
10,150,2,5047.366,1871.807,3175.559
10,150,3,4887.511,1717.228,3170.282
10,150,4,5054.997,1886.098,3168.899
10,150,5,5093.237,1922.293,3170.943
10,150,6,5069.665,1905.511,3164.154
10,150,7,4971.554,1804.342,3167.211
10,150,8,4810.329,1646.496,3163.832
10,150,9,4938.576,1772.625,3165.95
10,150,10,4902.08,1736.119,3165.961
10,200,1,4239.067,1754.344,2484.722
10,200,2,4117.306,1631.445,2485.86
10,200,3,4315.498,1832.106,2483.392
10,200,4,4195.344,1710.424,2484.92
10,200,5,4300.297,1816.569,2483.728
10,200,6,4354.583,1871.605,2482.977
10,200,7,4236.091,1745.499,2490.592
10,200,8,4231.876,1745.192,2486.683
10,200,9,4353.818,1866.96,2486.858
10,200,10,4267.702,1780.146,2487.555
10,300,1,3537.945,1729.915,1808.029
10,300,2,3706.652,1907.17,1799.482
10,300,3,3627.326,1827.199,1800.127
10,300,4,3725.461,1915.607,1809.853
10,300,5,3695.801,1896.56,1799.24
10,300,6,3714.858,1910.194,1804.663
10,300,7,3514.638,1703.575,1811.062
10,300,8,3467.359,1667.463,1799.895
10,300,9,3677.596,1876.163,1801.432
10,300,10,3644.189,1841.412,1802.776
10,500,1,3070.604,1789.627,1280.977
10,500,2,3098.817,1828.123,1270.693
10,500,3,3147.517,1869.477,1278.039
10,500,4,3080.167,1799.242,1280.924
10,500,5,3216.633,1943.944,1272.689
10,500,6,3202.235,1919.584,1282.65
10,500,7,3097.146,1816.235,1280.91
10,500,8,3021.448,1740.437,1281.011
10,500,9,3168.527,1892.523,1276.004
10,500,10,3112.239,1839.069,1273.169
10,700,1,2889.368,1837.127,1052.241
10,700,2,2912.332,1849.1,1063.231
10,700,3,2707.57,1655.06,1052.51
10,700,4,2716.415,1665.88,1050.535
10,700,5,2744.937,1672.937,1072.0
10,700,6,2838.539,1775.65,1062.889
10,700,7,2916.778,1855.624,1061.154
10,700,8,2711.052,1650.16,1060.892
10,700,9,2907.234,1846.616,1060.617
10,700,10,2769.636,1710.965,1058.671
10,1000,1,2855.33,1891.401,963.928
10,1000,2,2837.027,1914.352,922.675
10,1000,3,2808.554,1831.744,976.809
10,1000,4,2787.156,1796.083,991.072
10,1000,5,2950.874,1956.83,994.044
10,1000,6,2897.32,1954.923,942.396
10,1000,7,2869.395,1860.528,1008.866
10,1000,8,2834.104,1867.631,966.472
10,1000,9,2700.002,1758.158,941.843
10,1000,10,2983.08,2022.296,960.784
50,100,1,10003.744,1943.006,8060.738
50,100,2,9795.167,1744.095,8051.072
50,100,3,9914.949,1857.562,8057.387
50,100,4,9909.387,1852.184,8057.202
50,100,5,10012.019,1955.156,8056.863
50,100,6,9897.882,1843.994,8053.887
50,100,7,9921.362,1862.369,8058.993
50,100,8,9724.814,1662.233,8062.581
50,100,9,10062.404,2014.937,8047.466
50,100,10,9843.305,1784.41,8058.894
50,150,1,7137.733,1630.928,5506.804
50,150,2,7366.707,1854.56,5512.146
50,150,3,7257.695,1752.249,5505.445
50,150,4,7379.58,1873.583,5505.996
50,150,5,7444.763,1938.242,5506.52
50,150,6,7327.085,1818.705,5508.379
50,150,7,7507.196,1999.988,5507.207
50,150,8,7236.207,1731.038,5505.169
50,150,9,7318.865,1814.593,5504.271
50,150,10,7401.667,1897.524,5504.143
50,200,1,6120.284,1883.64,4236.643
50,200,2,6124.412,1886.762,4237.65
50,200,3,6063.212,1821.76,4241.451
50,200,4,6164.945,1926.596,4238.349
50,200,5,5959.314,1720.92,4238.394
50,200,6,6066.033,1827.341,4238.691
50,200,7,6103.125,1861.259,4241.865
50,200,8,6096.416,1854.913,4241.503
50,200,9,6066.564,1829.404,4237.159
50,200,10,6139.174,1899.342,4239.831
50,300,1,4756.516,1784.917,2971.599
50,300,2,4799.314,1824.046,2975.267
50,300,3,4826.141,1853.23,2972.911
50,300,4,4794.722,1819.579,2975.143
50,300,5,4812.385,1831.021,2981.364
50,300,6,4849.638,1869.852,2979.786
50,300,7,4857.747,1885.951,2971.796
50,300,8,4700.036,1722.997,2977.039
50,300,9,4772.058,1775.398,2996.66
50,300,10,4757.63,1779.295,2978.335
50,500,1,3867.443,1883.746,1983.696
50,500,2,3846.364,1868.18,1978.183
50,500,3,3781.38,1802.16,1979.219
50,500,4,3917.745,1938.272,1979.473
50,500,5,3901.486,1922.494,1978.991
50,500,6,3857.408,1888.772,1968.636
50,500,7,3751.55,1774.135,1977.414
50,500,8,3879.476,1906.981,1972.494
50,500,9,3945.167,1966.064,1979.103
50,500,10,3889.881,1893.855,1996.026
50,700,1,3384.186,1822.194,1561.992
50,700,2,3334.344,1780.052,1554.291
50,700,3,3421.774,1867.294,1554.479
50,700,4,3518.638,1958.345,1560.292
50,700,5,3564.057,2004.473,1559.583
50,700,6,3401.849,1845.838,1556.011
50,700,7,3392.913,1834.471,1558.442
50,700,8,3296.123,1741.787,1554.335
50,700,9,3462.628,1904.274,1558.353
50,700,10,3430.918,1860.269,1570.648
50,1000,1,3118.697,1745.774,1372.923
50,1000,2,3195.308,1808.513,1386.794
50,1000,3,3356.884,1950.765,1406.118
50,1000,4,3170.538,1768.151,1402.386
50,1000,5,3202.328,1838.073,1364.255
50,1000,6,3277.194,1931.617,1345.576
50,1000,7,3215.454,1865.631,1349.822
50,1000,8,3171.245,1854.933,1316.312
50,1000,9,3323.14,1927.136,1396.003
