payload_mb,bandwidth_mbps,run_idx,total_ms,generation_ms,publication_ms
10,100,1,6396.42,1714.906,4681.514
10,100,2,6330.855,1653.65,4677.204
10,100,3,6239.072,1555.856,4683.216
10,100,4,6203.603,1520.955,4682.648
10,100,5,6445.674,1740.198,4705.475
10,100,6,6274.202,1591.306,4682.896
10,100,7,6520.825,1839.594,4681.23
10,100,8,6374.002,1693.108,4680.894
10,100,9,6398.123,1702.04,4696.082
10,100,10,6268.766,1585.989,4682.776
10,200,1,4138.114,1586.536,2551.578
10,200,2,4250.572,1701.035,2549.536
10,200,3,4130.348,1577.93,2552.417
10,200,4,4193.423,1645.378,2548.044
10,200,5,4225.96,1665.568,2560.391
10,200,6,4281.79,1734.991,2546.798
10,200,7,4153.614,1603.92,2549.694
10,200,8,4215.415,1663.946,2551.469
10,200,9,4337.936,1782.107,2555.829
10,200,10,4153.55,1601.147,2552.402
10,500,1,3041.614,1741.681,1299.933
10,500,2,2951.75,1647.796,1303.953
10,500,3,2946.085,1646.486,1299.599
10,500,4,3008.486,1709.415,1299.071
10,500,5,3038.237,1733.542,1304.695
10,500,6,2854.137,1552.914,1301.223
10,500,7,2883.588,1585.946,1297.642
10,500,8,2995.744,1693.749,1301.994
10,500,9,2867.283,1566.371,1300.911
10,500,10,3371.247,2070.429,1300.818
10,800,1,2615.501,1610.376,1005.124
10,800,2,2598.307,1588.421,1009.885
10,800,3,2772.738,1772.809,999.929
10,800,4,2558.099,1558.672,999.426
10,800,5,2719.18,1725.549,993.63
10,800,6,2615.58,1616.553,999.026
10,800,7,2693.937,1686.631,1007.305
10,800,8,2624.661,1621.66,1003.0
10,800,9,2604.302,1602.624,1001.678
10,800,10,2545.669,1546.121,999.548
10,1000,1,2630.711,1683.399,947.312
10,1000,2,2625.423,1695.4,930.023
10,1000,3,3007.849,2070.081,937.767
10,1000,4,2718.0,1799.068,918.931
10,1000,5,2768.093,1831.667,936.425
10,1000,6,2561.523,1592.964,968.559
10,1000,7,2553.435,1607.119,946.315
10,1000,8,2823.046,1877.986,945.059
10,1000,9,2563.089,1645.634,917.455
10,1000,10,2579.53,1629.554,949.976
100,100,1,14293.652,1709.909,12583.743
100,100,2,14229.173,1640.284,12588.888
100,100,3,14386.008,1797.154,12588.853
100,100,4,14315.69,1727.557,12588.133
100,100,5,14368.189,1777.048,12591.141
100,100,6,14362.73,1776.142,12586.588
100,100,7,14427.951,1843.336,12584.615
100,100,8,14443.126,1852.258,12590.868
100,100,9,14390.552,1794.132,12596.42
100,100,10,14390.83,1805.647,12585.182
100,200,1,8381.135,1868.446,6512.689
100,200,2,8391.813,1889.361,6502.452
100,200,3,8129.789,1634.123,6495.666
100,200,4,8127.76,1629.217,6498.542
100,200,5,8238.787,1734.72,6504.066
100,200,6,8230.481,1722.572,6507.908
100,200,7,8300.999,1789.533,6511.465
100,200,8,8212.164,1705.586,6506.578
100,200,9,8312.929,1809.285,6503.644
100,200,10,8408.878,1909.361,6499.516
100,500,1,4704.04,1804.202,2899.838
100,500,2,4704.333,1818.864,2885.469
100,500,3,4628.986,1749.958,2879.027
100,500,4,4648.274,1696.708,2951.565
100,500,5,4731.108,1852.648,2878.46
100,500,6,4564.367,1685.199,2879.167
100,500,7,4546.717,1662.497,2884.22
100,500,8,4725.487,1845.649,2879.837
100,500,9,4623.248,1736.247,2887.001
100,500,10,4730.77,1847.514,2883.255
100,800,1,3691.154,1687.035,2004.119
100,800,2,3849.472,1857.979,1991.492
100,800,3,3696.517,1701.067,1995.45
100,800,4,3775.327,1777.943,1997.383
100,800,5,3755.11,1761.707,1993.402
100,800,6,3872.338,1868.354,2003.983
100,800,7,3639.017,1641.034,1997.982
100,800,8,3788.157,1789.168,1998.988
100,800,9,3643.303,1659.665,1983.638
100,800,10,3708.272,1723.146,1985.125
100,1000,1,3490.832,1710.49,1780.342
100,1000,2,3506.105,1758.204,1747.9
100,1000,3,3624.263,1873.334,1750.929
100,1000,4,3455.738,1749.132,1706.605
100,1000,5,3604.901,1891.132,1713.769
100,1000,6,3481.876,1692.372,1789.504
100,1000,7,3434.273,1671.55,1762.723
100,1000,8,3498.027,1767.525,1730.501
100,1000,9,3421.853,1684.736,1737.116
100,1000,10,3473.617,1737.9,1735.716
200,100,1,23305.055,1923.919,21381.136
200,100,2,23206.606,1815.155,21391.451
200,100,3,23211.369,1828.594,21382.775
200,100,4,23264.365,1883.396,21380.969
200,100,5,23184.343,1806.553,21377.789
200,100,6,23246.107,1867.01,21379.096
200,100,7,23143.876,1762.699,21381.177
200,100,8,23255.053,1870.092,21384.961
200,100,9,23247.318,1870.537,21376.781
200,100,10,23317.17,1936.331,21380.839
200,200,1,12745.085,1844.228,10900.856
200,200,2,12777.769,1863.149,10914.619
200,200,3,12903.367,1994.077,10909.29
200,200,4,12813.58,1917.625,10895.954
200,200,5,12726.0,1830.539,10895.46
200,200,6,12798.74,1898.902,10899.837
200,200,7,12898.571,1990.935,10907.636
200,200,8,12788.85,1797.466,10991.383
200,200,9,12777.428,1879.964,10897.464
200,200,10,12709.263,1811.024,10898.238
200,500,1,6447.737,1805.185,4642.552
200,500,2,6406.216,1769.835,4636.38
200,500,3,6671.671,2027.479,4644.191
200,500,4,6534.728,1877.662,4657.066
200,500,5,6542.742,1898.845,4643.896
200,500,6,6538.304,1903.789,4634.515
200,500,7,6450.472,1803.448,4647.024
200,500,8,6431.608,1788.525,4643.083
200,500,9,6512.007,1856.151,4655.855
200,500,10,6573.422,1934.664,4638.757
200,800,1,4924.243,1832.395,3091.848
200,800,2,4860.357,1770.327,3090.029
200,800,3,4911.827,1812.964,3098.862
200,800,4,4965.543,1871.412,3094.13
200,800,5,4838.971,1748.331,3090.639
200,800,6,5118.558,2011.042,3107.515
200,800,7,4954.22,1851.439,3102.78
200,800,8,4813.882,1724.54,3089.342
200,800,9,4877.339,1789.566,3087.773
200,800,10,4968.253,1866.462,3101.791
200,1000,1,4444.324,1827.241,2617.082
200,1000,2,4533.717,1794.667,2739.05
200,1000,3,4542.198,1920.204,2621.993
200,1000,4,4563.815,1913.714,2650.101
200,1000,5,4353.29,1744.65,2608.639
200,1000,6,4362.949,1746.011,2616.938
200,1000,7,4476.703,1824.708,2651.995
200,1000,8,4442.956,1805.291,2637.665
