run_idx,delta,total_ms,recompile_ms,reencaps_ms,publication_ms
1,0.01,3683.957,58.333,9.637,3615.987
1,0.1,3825.873,134.923,82.355,3608.595
1,0.3,4351.432,403.775,305.895,3641.762
1,0.5,4659.93,515.024,517.431,3627.473
1,0.7,5042.907,780.633,627.462,3634.811
1,1.0,5602.306,1177.839,794.596,3629.87
2,0.01,3716.822,49.131,13.051,3654.639
2,0.1,3819.107,128.484,83.146,3607.476
2,0.3,4232.655,322.192,260.092,3650.37
2,0.5,4549.519,503.902,429.161,3616.455
2,0.7,5077.198,839.711,608.653,3628.833
2,1.0,5737.362,1173.644,930.586,3633.131
3,0.01,3701.919,50.728,8.734,3642.456
3,0.1,3827.037,124.374,86.633,3616.03
3,0.3,4208.945,314.932,264.71,3629.302
3,0.5,4517.13,504.879,388.745,3623.505
3,0.7,4859.265,679.545,545.432,3634.287
3,1.0,5491.68,1095.395,766.792,3629.492
4,0.01,3718.933,66.124,8.013,3644.795
4,0.1,3891.33,165.147,105.57,3620.611
4,0.3,4212.47,314.477,287.49,3610.502
4,0.5,4553.342,524.672,391.985,3636.685
4,0.7,5062.837,819.741,619.297,3623.799
4,1.0,5617.61,1111.957,878.964,3626.688
5,0.01,3724.701,57.087,10.99,3656.623
5,0.1,3871.531,128.151,123.939,3619.44
5,0.3,4207.885,281.482,302.871,3623.53
5,0.5,4470.372,445.211,397.441,3627.719
5,0.7,5091.14,848.827,616.196,3626.116
5,1.0,5778.425,1300.749,850.894,3626.78
6,0.01,3721.924,60.031,13.747,3648.145
6,0.1,3938.72,181.351,126.771,3630.596
6,0.3,4169.063,270.391,272.345,3626.327
6,0.5,4475.949,430.388,422.045,3623.514
6,0.7,5127.603,881.869,618.238,3627.496
6,1.0,5652.88,1159.949,866.39,3626.54
7,0.01,3738.685,59.235,14.513,3664.937
7,0.1,3819.225,122.067,82.578,3614.579
7,0.3,4236.064,309.281,300.129,3626.653
7,0.5,4650.095,579.298,460.763,3610.033
7,0.7,4910.093,732.771,543.594,3633.727
7,1.0,5595.598,1156.184,812.084,3627.33
8,0.01,3675.027,43.622,9.191,3622.213
8,0.1,3866.321,147.543,101.459,3617.318
8,0.3,4205.993,311.003,269.228,3625.762
8,0.5,4547.655,468.421,453.66,3625.573
8,0.7,4944.966,699.455,615.824,3629.686
8,1.0,5566.544,1132.556,786.622,3647.365
9,0.01,3701.838,43.199,15.82,3642.818
9,0.1,3847.688,138.583,95.539,3613.565
9,0.3,4134.551,254.619,252.218,3627.713
9,0.5,4492.106,431.608,435.254,3625.244
9,0.7,4993.733,744.773,613.407,3635.553
9,1.0,5587.186,1161.663,787.739,3637.783
10,0.01,3685.862,35.664,18.565,3631.632
10,0.1,3849.834,147.336,91.487,3611.01
10,0.3,4333.514,420.488,278.714,3634.311
10,0.5,4633.676,551.845,472.59,3609.24
10,0.7,4981.064,714.039,622.893,3644.131
10,1.0,5666.999,1189.961,848.64,3628.397
