terminal_config,terminal_cpu,terminal_mem_gb,run_idx,avg_cpu_by_quota_pct,max_rss_mb,download_ms,decrypt_ms,total_ms
0.1vCPU_512MB,0.1,0.5,1,74.06,116.0,4950.715,6288.746,11239.462
0.1vCPU_512MB,0.1,0.5,2,76.26,112.0,5251.54,7058.241,12309.782
0.1vCPU_512MB,0.1,0.5,3,74.67,117.5,4839.064,5765.239,10604.304
0.1vCPU_512MB,0.1,0.5,4,77.04,117.5,4836.583,6797.761,11634.345
0.1vCPU_512MB,0.1,0.5,5,75.96,114.5,4700.404,6803.169,11503.573
0.1vCPU_512MB,0.1,0.5,6,76.8,120.0,4920.855,6612.801,11533.656
0.1vCPU_512MB,0.1,0.5,7,77.43,120.0,4964.342,7061.744,12026.086
0.1vCPU_512MB,0.1,0.5,8,76.51,116.0,4887.956,6728.512,11616.469
0.1vCPU_512MB,0.1,0.5,9,76.54,118.0,5009.991,7604.298,12614.289
0.1vCPU_512MB,0.1,0.5,10,77.41,119.5,4730.132,6996.891,11727.024
0.25vCPU_512MB,0.25,0.5,1,49.76,117.5,4433.931,2611.358,7045.29
0.25vCPU_512MB,0.25,0.5,2,47.25,119.0,4706.088,2641.061,7347.149
0.25vCPU_512MB,0.25,0.5,3,53.05,114.5,4433.592,2992.317,7425.91
0.25vCPU_512MB,0.25,0.5,4,55.08,114.5,4392.206,3311.154,7703.361
0.25vCPU_512MB,0.25,0.5,5,47.38,118.0,4746.056,2684.513,7430.57
0.25vCPU_512MB,0.25,0.5,6,49.98,113.0,4971.416,3155.305,8126.722
0.25vCPU_512MB,0.25,0.5,7,47.23,115.0,4339.852,2205.606,6545.459
0.25vCPU_512MB,0.25,0.5,8,46.82,117.0,4730.58,2511.421,7242.002
0.25vCPU_512MB,0.25,0.5,9,53.32,112.5,4453.926,3088.529,7542.456
0.25vCPU_512MB,0.25,0.5,10,49.41,114.0,4441.439,2686.946,7128.386
0.5vCPU_512MB,0.5,0.5,1,29.34,117.5,4710.643,1271.768,5982.411
0.5vCPU_512MB,0.5,0.5,2,27.67,119.5,4301.587,994.221,5295.808
0.5vCPU_512MB,0.5,0.5,3,28.55,116.5,4350.222,1089.465,5439.688
0.5vCPU_512MB,0.5,0.5,4,30.15,117.5,4548.686,1348.466,5897.153
0.5vCPU_512MB,0.5,0.5,5,33.29,119.5,4389.952,1411.805,5801.757
0.5vCPU_512MB,0.5,0.5,6,32.44,121.0,4311.794,1421.235,5733.03
0.5vCPU_512MB,0.5,0.5,7,27.63,114.5,4608.499,1108.054,5716.553
0.5vCPU_512MB,0.5,0.5,8,29.7,119.5,4354.217,1128.672,5482.889
0.5vCPU_512MB,0.5,0.5,9,26.8,114.5,4513.943,951.301,5465.245
0.5vCPU_512MB,0.5,0.5,10,31.67,114.0,4270.64,1271.048,5541.689
1vCPU_512MB,1.0,0.5,1,11.99,119.0,4565.551,373.408,4938.959
1vCPU_512MB,1.0,0.5,2,13.51,119.0,4347.648,415.092,4762.74
1vCPU_512MB,1.0,0.5,3,11.73,117.0,4305.231,354.05,4659.282
1vCPU_512MB,1.0,0.5,4,12.97,119.5,4357.865,386.201,4744.067
1vCPU_512MB,1.0,0.5,5,13.2,119.5,4312.138,402.933,4715.072
1vCPU_512MB,1.0,0.5,6,10.77,120.0,4530.717,321.503,4852.221
1vCPU_512MB,1.0,0.5,7,13.06,114.0,4564.858,439.242,5004.1
1vCPU_512MB,1.0,0.5,8,14.46,119.5,4436.912,506.141,4943.054
1vCPU_512MB,1.0,0.5,9,11.02,116.5,4563.762,332.796,4896.558
1vCPU_512MB,1.0,0.5,10,12.33,119.5,4442.182,403.147,4845.33
2vCPU_512MB,2.0,0.5,1,7.9,105.5,4581.717,399.189,4980.907
2vCPU_512MB,2.0,0.5,2,8.23,106.0,4316.787,458.204,4774.992
2vCPU_512MB,2.0,0.5,3,7.29,105.5,4265.459,412.449,4677.909
2vCPU_512MB,2.0,0.5,4,7.59,106.0,4400.44,367.532,4767.973
2vCPU_512MB,2.0,0.5,5,8.24,105.0,4401.332,416.046,4817.378
2vCPU_512MB,2.0,0.5,6,7.54,160.5,4516.412,410.867,4927.28
2vCPU_512MB,2.0,0.5,7,7.75,105.5,4287.909,467.441,4755.35
2vCPU_512MB,2.0,0.5,8,6.96,105.5,4523.803,411.215,4935.019
2vCPU_512MB,2.0,0.5,9,7.92,105.5,4394.145,419.936,4814.082
2vCPU_512MB,2.0,0.5,10,6.94,160.5,4394.613,381.96,4776.573
